識別碼	上層識別碼	地名	級別	代碼
1	4	府中街	2	1
2	4	府前街	2	2
21	6	東門外	2	16
22	6	埤仔腳	2	17
23	6	埤頭	2	18
24	6	莿仔埒	2	19
25	6	大竹圍	2	20
26	10	城南街	2	3136
27	10	龍口街	2	21
30	10	媽祖宮後街	2	25
31	10	土地後街	2	26
32	10	直興街	2	3022
33	10	廈新街	2	28
34	10	舊街	2	29
35	10	竹仔寮街	2	30
36	10	歡慈市街	2	31
37	10	凹肸仔街	2	32
38	10	大溪口街	2	33
39	10	頂新街	2	34
40	10	水仙宮口街	2	35
41	10	新店街	2	36
42	10	大眾廟口街	2	37
43	12	龍安坡	2	23
44	12	十二甲	2	24
45	10	大厝口街	2	38
46	10	大厝後街	2	39
47	10	粟倉口街	2	40
48	10	竹篙厝街	2	41
49	10	料館口街	2	42
50	10	祖師廟前街	2	43
51	10	後菜園街	2	44
52	10	王公宮口街	2	2343
53	10	帆寮口街	2	45
54	10	滬尾渡頭街	2	47
55	10	半路店街	2	48
56	10	布埔街	2	49
57	10	新起街	2	50
58	10	新起橫街	2	3137
59	10	新起後街	2	52
60	10	祖師廟橫街	2	53
61	10	蓮花街	2	54
62	10	草店尾街	2	55
63	10	土地前街	2	27
64	10	西門外街	2	57
65	10	江瀕街	2	58
66	10	將軍廟街	2	59
67	10	竹巷尾街	2	60
68	10	久壽街	2	61
69	10	八甲庄	2	62
70	10	祖師廟後街	2	3071
71	10	八甲街	2	63
72	10	萬安街	2	3128
73	10	北皮寮街	2	65
74	10	龍山寺街	2	66
75	10	育嬰堂邊街	2	67
76	10	書院邊街	2	68
77	15	中石路	2	69
78	15	下石路	2	70
79	15	頂石路	2	71
80	16	頂石路	2	71
81	16	中石路	2	69
82	16	下石路	2	70
83	17	長興街	2	72
84	17	井仔頭街	2	73
85	17	日新街	2	74
86	17	新店尾街	2	2196
87	17	朝陽街	2	75
88	17	下奎府聚街	2	76
90	17	珪瑜粹街	2	77
91	17	大龍峒庄	2	78
92	17	牛埔庄	2	79
93	17	建成街	2	80
94	17	建和街	2	81
95	17	得勝外街	2	82
96	17	建成後街	2	83
97	17	南興街	2	84
98	17	朝東街	2	85
99	17	朝東後街	2	86
100	17	維新街	2	87
101	17	牛埔仔街	2	88
102	17	詔安厝街	2	89
103	17	稻新街	2	90
104	17	法主公街	2	91
105	17	新興街	2	92
106	17	得勝街	2	93
107	17	六館街	2	94
108	17	怡興街	2	95
109	17	千秋街	2	96
110	17	港邊街	2	97
111	17	建昌後街	2	99
112	17	建昌街	2	98
113	17	六館後街	2	100
114	17	鴨寮街	2	101
115	17	城隍廟前街	2	102
116	17	蘆竹腳街	2	103
117	17	媽祖宮後街	2	25
118	17	永和街	2	104
119	17	鐘厝街	2	105
120	17	九間仔街	2	106
121	17	長樂街	2	107
122	17	九間仔後街	2	108
123	17	媽祖宮口街	2	109
124	17	南街	2	2206
125	17	中北街	2	110
126	17	中街	2	111
127	17	怡和巷街	2	112
128	17	太平街	2	113
129	17	太平橫街	2	114
130	17	建興街	2	115
131	17	平和街	2	116
132	17	城隍廟後街	2	117
133	17	建興後街	2	118
134	17	震和街	2	119
135	17	李厝街	2	120
136	17	港邊後街	2	121
137	17	大有街	2	122
138	17	普願街	2	123
139	17	獅館公街	2	3138
140	17	獅館巷街	2	125
141	17	杜厝街	2	126
142	17	益保裕街	2	127
143	17	國興街	2	128
144	17	卑仔墘街	2	3139
145	17	大橋頭街	2	135
146	17	枋隙後街	2	131
147	17	頂牛磨車街	2	132
148	17	下牛磨車街	2	133
149	17	依仁里街	2	134
150	17	枋隙街	2	130
151	17	飲和街	2	136
152	17	隆記後街	2	137
153	17	北門口街	2	138
154	17	北門外街	2	139
155	17	福聚街	2	140
156	17	北門外後街	2	141
157	17	興仁街	2	142
